sentances,predictions
"Thymectomy of B6 mice at 5 weeks of age led to premature alterations in T-cell homeostasis and ANA production, by 15 weeks of age, similar to that in old mice.","[{'Thymectomy': 'O'}, {'of': 'O'}, {'B6': 'O'}, {'mice': 'O'}, {'at': 'O'}, {'5': 'O'}, {'weeks': 'O'}, {'of': 'O'}, {'age': 'O'}, {'led': 'O'}, {'to': 'O'}, {'premature': 'O'}, {'alterations': 'O'}, {'in': 'O'}, {'T-cell': 'O'}, {'homeostasis': 'O'}, {'and': 'O'}, {'ANA': 'I-Entity'}, {'production,': 'O'}, {'by': 'O'}, {'15': 'O'}, {'weeks': 'O'}, {'of': 'O'}, {'age,': 'O'}, {'similar': 'O'}, {'to': 'O'}, {'that': 'O'}, {'in': 'O'}, {'old': 'O'}, {'mice.': 'O'}]"
The IVCM showed a significant increase in basal epithelium cells density and subbasal nerve plexus density and number and a decrease in Langerhans cells density (p < 0.05).,"[{'The': 'O'}, {'IVCM': 'O'}, {'showed': 'O'}, {'a': 'O'}, {'significant': 'O'}, {'increase': 'O'}, {'in': 'O'}, {'basal': 'O'}, {'epithelium': 'O'}, {'cells': 'O'}, {'density': 'O'}, {'and': 'O'}, {'subbasal': 'O'}, {'nerve': 'O'}, {'plexus': 'O'}, {'density': 'O'}, {'and': 'O'}, {'number': 'O'}, {'and': 'O'}, {'a': 'O'}, {'decrease': 'O'}, {'in': 'O'}, {'Langerhans': 'O'}, {'cells': 'O'}, {'density': 'O'}, {'(p': 'O'}, {'<': 'O'}, {'0.05).': 'O'}]"
"In contrast, the frequency of physician-confirmed diagnoses of thyroid, liver, and kidney disease and lymphoma was low and only primary biliary cirrhosis was associated with primary SS case status.","[{'In': 'O'}, {'contrast,': 'O'}, {'the': 'O'}, {'frequency': 'O'}, {'of': 'O'}, {'physician-confirmed': 'O'}, {'diagnoses': 'O'}, {'of': 'O'}, {'thyroid,': 'B-Entity'}, {'liver,': 'I-Entity'}, {'and': 'I-Entity'}, {'kidney': 'I-Entity'}, {'disease': 'I-Entity'}, {'and': 'O'}, {'lymphoma': 'I-Entity'}, {'was': 'O'}, {'low': 'O'}, {'and': 'O'}, {'only': 'O'}, {'primary': 'B-Entity'}, {'biliary': 'I-Entity'}, {'cirrhosis': 'I-Entity'}, {'was': 'O'}, {'associated': 'O'}, {'with': 'O'}, {'primary': 'O'}, {'SS': 'I-Entity'}, {'case': 'O'}, {'status.': 'O'}]"
"MATERIAL AND A prospective, monocentric, uncontrolled study was conducted between January 2012¬¨‚Ä†and March 2015¬¨‚Ä†on 110¬¨‚Ä†eyes of 55¬¨‚Ä†patients with severe dry eye on first line therapy or previously treated with Restasis(¬¨√Ü) who required the introduction of Ikervis(¬¨√Ü).","[{'MATERIAL': 'O'}, {'AND': 'O'}, {'A': 'O'}, {'prospective,': 'O'}, {'monocentric,': 'O'}, {'uncontrolled': 'O'}, {'study': 'O'}, {'was': 'O'}, {'conducted': 'O'}, {'between': 'O'}, {'January': 'O'}, {'2012¬¨‚Ä†and': 'O'}, {'March': 'O'}, {'2015¬¨‚Ä†on': 'O'}, {'110¬¨‚Ä†eyes': 'O'}]"
"Our observations demonstrated that p63 nuclear labeling in pSS MECs is preserved whereas ≈í¬±-SMA cytoplasmic staining is strongly and significantly reduced when compared with healthy SGs; the digital images analysis quantification of the expression of labeled ≈í¬±-SMA and p63 protein in the healthy and pSS MECs salivary tissues, led to results suggesting a loss of mechanical support for acini and ducts in pSS, correlated, probably, with the reduction of salivary flow that features one important aspect of pSS disease.Section of Human Anatomy and Histology, University of Bari ""Aldo Moro"", piazza Giulio Cesare 1, 70124, Bari, Italy.","[{'Our': 'O'}, {'observations': 'O'}, {'demonstrated': 'O'}, {'that': 'O'}, {'p63': 'O'}, {'nuclear': 'O'}, {'labeling': 'O'}, {'in': 'O'}, {'pSS': 'O'}, {'MECs': 'O'}, {'is': 'O'}, {'preserved': 'O'}, {'whereas': 'O'}, {'≈í¬±-SMA': 'O'}, {'cytoplasmic': 'O'}, {'staining': 'O'}, {'is': 'O'}, {'strongly': 'O'}, {'and': 'O'}, {'significantly': 'O'}, {'reduced': 'O'}, {'when': 'O'}, {'compared': 'O'}, {'with': 'O'}, {'healthy': 'O'}, {'SGs;': 'O'}, {'the': 'O'}, {'digital': 'O'}, {'images': 'O'}, {'analysis': 'O'}, {'quantification': 'O'}, {'of': 'O'}, {'the': 'O'}, {'expression': 'O'}, {'of': 'O'}, {'labeled': 'O'}]"
"Therefore, we report herein one patient with childhood SLE (C-SLE) and Sjogrens syndrome overlap that presented encapsulated Cryptococcus yeast cells in lung tissue.","[{'Therefore,': 'O'}, {'we': 'O'}, {'report': 'O'}, {'herein': 'O'}, {'one': 'O'}, {'patient': 'O'}, {'with': 'O'}, {'childhood': 'O'}, {'SLE': 'I-Entity'}, {'(C-SLE)': 'O'}, {'and': 'O'}, {'Sjogrens': 'B-Entity'}, {'syndrome': 'I-Entity'}, {'overlap': 'O'}, {'that': 'O'}, {'presented': 'O'}, {'encapsulated': 'O'}, {'Cryptococcus': 'B-Entity'}, {'yeast': 'I-Entity'}, {'cells': 'O'}, {'in': 'O'}, {'lung': 'O'}, {'tissue.': 'O'}]"
"Ultrasound of major salivary glands is a useful tool for diagnosis, prognostic evaluation, and response to treatment in SS.","[{'Ultrasound': 'O'}, {'of': 'O'}, {'major': 'O'}, {'salivary': 'O'}, {'glands': 'O'}, {'is': 'O'}, {'a': 'O'}, {'useful': 'O'}, {'tool': 'O'}, {'for': 'O'}, {'diagnosis,': 'O'}, {'prognostic': 'O'}, {'evaluation,': 'O'}, {'and': 'O'}, {'response': 'O'}, {'to': 'O'}, {'treatment': 'O'}, {'in': 'O'}, {'SS.': 'I-Entity'}]"
"Twenty-five recommendations for determining ANA (1-13), anti-double stranded DNA antibodies (14-18), specific antibodies (19-23) and validation of methods (24-25) were created.","[{'Twenty-five': 'O'}, {'recommendations': 'O'}, {'for': 'O'}, {'determining': 'O'}, {'ANA': 'O'}, {'(1-13),': 'O'}, {'anti-double': 'O'}, {'stranded': 'I-Entity'}, {'DNA': 'I-Entity'}, {'antibodies': 'O'}, {'(14-18),': 'O'}, {'specific': 'O'}, {'antibodies': 'O'}, {'(19-23)': 'O'}, {'and': 'O'}, {'validation': 'O'}, {'of': 'O'}, {'methods': 'O'}, {'(24-25)': 'O'}, {'were': 'O'}, {'created.': 'O'}]"
"The characteristics of this case were acute onset (within a few days), severe clinical presentation (continued confinement to bed and malnutrition) and non-responsiveness to all treatments (intravenous immunoglobulins, corticosteroids, plasmapheresis, rituximab).","[{'The': 'O'}, {'characteristics': 'O'}, {'of': 'O'}, {'this': 'O'}, {'case': 'O'}, {'were': 'O'}, {'acute': 'O'}, {'onset': 'O'}, {'(within': 'O'}, {'a': 'O'}, {'few': 'O'}, {'days),': 'O'}, {'severe': 'O'}, {'clinical': 'O'}, {'presentation': 'O'}, {'(continued': 'O'}, {'confinement': 'O'}, {'to': 'O'}, {'bed': 'O'}, {'and': 'O'}, {'malnutrition)': 'I-Entity'}, {'and': 'O'}, {'non-responsiveness': 'O'}, {'to': 'O'}, {'all': 'O'}, {'treatments': 'O'}, {'(intravenous': 'O'}, {'immunoglobulins,': 'O'}, {'corticosteroids,': 'O'}, {'plasmapheresis,': 'O'}]"
"Baseline and post cessation of treatment (baseline and 3 months) evaluations included, subjective symptom scoring, fluorescein and lissamine green staining, Schirmer's test, tear break-up time (BUT) and tear fluid BAFF assessments.","[{'Baseline': 'O'}, {'and': 'O'}, {'post': 'O'}, {'cessation': 'O'}, {'of': 'O'}, {'treatment': 'O'}, {'(baseline': 'O'}, {'and': 'O'}, {'3': 'O'}, {'months)': 'O'}, {'evaluations': 'O'}, {'included,': 'O'}, {'subjective': 'O'}, {'symptom': 'O'}, {'scoring,': 'O'}, {'fluorescein': 'B-Entity'}, {'and': 'I-Entity'}, {'lissamine': 'I-Entity'}, {'green': 'I-Entity'}, {'staining,': 'O'}, {""Schirmer's"": 'O'}, {'test,': 'O'}, {'tear': 'O'}, {'break-up': 'O'}, {'time': 'O'}, {'(BUT)': 'O'}, {'and': 'O'}, {'tear': 'O'}, {'fluid': 'O'}, {'BAFF': 'O'}, {'assessments.': 'O'}]"
