sentances,predictions
A family history of amyloidosis was present in every affected individual.,"[{'A': 'O'}, {'family': 'O'}, {'history': 'O'}, {'of': 'O'}, {'amyloidosis': 'I-Entity'}, {'was': 'O'}, {'present': 'O'}, {'in': 'O'}, {'every': 'O'}, {'affected': 'O'}, {'individual.': 'O'}]"
No improvement in renal tubular dysfunction (in the form of a reduction in the alkali dose) after immunomodulating therapy was observed over a mean follow-up of 2.8 years.,"[{'No': 'O'}, {'improvement': 'O'}, {'in': 'O'}, {'renal': 'B-Entity'}, {'tubular': 'I-Entity'}, {'dysfunction': 'I-Entity'}, {'(in': 'O'}, {'the': 'O'}, {'form': 'O'}, {'of': 'O'}, {'a': 'O'}, {'reduction': 'O'}, {'in': 'O'}, {'the': 'O'}, {'alkali': 'I-Entity'}, {'dose)': 'O'}, {'after': 'O'}, {'immunomodulating': 'O'}, {'therapy': 'O'}, {'was': 'O'}, {'observed': 'O'}, {'over': 'O'}, {'a': 'O'}, {'mean': 'O'}, {'follow-up': 'O'}, {'of': 'O'}, {'2.8': 'O'}, {'years.': 'O'}]"
The plasma McIgM level decreased after chemotherapy (P=0.002).,"[{'The': 'O'}, {'plasma': 'O'}, {'McIgM': 'O'}, {'level': 'O'}, {'decreased': 'O'}, {'after': 'O'}, {'chemotherapy': 'O'}, {'(P=0.002).': 'O'}]"
"We describe a case of a 43-year-old woman who presented with symptoms including movement disorder, sensory neurogenic bladder, sensory loss and neuropathic pain, migraine like headaches, musculoskeletal pain, Raynaud's phenomenon and dysautonomia.","[{'We': 'O'}, {'describe': 'O'}, {'a': 'O'}, {'case': 'O'}, {'of': 'O'}, {'a': 'O'}, {'43-year-old': 'O'}, {'woman': 'O'}, {'who': 'O'}, {'presented': 'O'}, {'with': 'O'}, {'symptoms': 'O'}, {'including': 'O'}, {'movement': 'B-Entity'}, {'disorder,': 'I-Entity'}, {'sensory': 'O'}, {'neurogenic': 'B-Entity'}, {'bladder,': 'I-Entity'}, {'sensory': 'B-Entity'}, {'loss': 'I-Entity'}, {'and': 'O'}, {'neuropathic': 'B-Entity'}, {'pain,': 'I-Entity'}, {'migraine': 'I-Entity'}, {'like': 'O'}, {'headaches,': 'I-Entity'}, {'musculoskeletal': 'B-Entity'}, {'pain,': 'I-Entity'}, {""Raynaud's"": 'B-Entity'}, {'phenomenon': 'I-Entity'}, {'and': 'O'}, {'dysautonomia.': 'I-Entity'}]"
"Ten SS patients with proximal neuropathic pain were evaluated by this MRN protocol, as well as by punch skin biopsies evaluating for intraepidermal nerve fiber density (IENFD) of unmyelinated nerves.","[{'Ten': 'O'}, {'SS': 'I-Entity'}, {'patients': 'O'}, {'with': 'O'}, {'proximal': 'O'}, {'neuropathic': 'B-Entity'}, {'pain': 'I-Entity'}, {'were': 'O'}, {'evaluated': 'O'}, {'by': 'O'}, {'this': 'O'}, {'MRN': 'O'}, {'protocol,': 'O'}, {'as': 'O'}, {'well': 'O'}, {'as': 'O'}, {'by': 'O'}, {'punch': 'O'}, {'skin': 'O'}, {'biopsies': 'O'}, {'evaluating': 'O'}, {'for': 'O'}, {'intraepidermal': 'O'}, {'nerve': 'O'}, {'fiber': 'O'}, {'density': 'O'}, {'(IENFD)': 'O'}, {'of': 'O'}, {'unmyelinated': 'O'}, {'nerves.': 'O'}]"
"The patient complained of ocular discomfort, oral dryness and continuous nasal bleeding in 2007.","[{'The': 'O'}, {'patient': 'O'}, {'complained': 'O'}, {'of': 'O'}, {'ocular': 'B-Entity'}, {'discomfort,': 'I-Entity'}, {'oral': 'B-Entity'}, {'dryness': 'I-Entity'}, {'and': 'O'}, {'continuous': 'O'}, {'nasal': 'B-Entity'}, {'bleeding': 'I-Entity'}, {'in': 'O'}, {'2007.': 'O'}]"
"In addition, our study reveals that the coexistence of SS and systemic scleroderma decreases the incidence of FS value ‚Äö√¢‚Ä¢1 compared to pSS.Turkey.Turkey.Turkey.10.4103/IJPM.IJPM_416_17.","[{'In': 'O'}, {'addition,': 'O'}, {'our': 'O'}, {'study': 'O'}, {'reveals': 'O'}, {'that': 'O'}, {'the': 'O'}, {'coexistence': 'O'}, {'of': 'O'}, {'SS': 'I-Entity'}, {'and': 'O'}, {'systemic': 'B-Entity'}, {'scleroderma': 'I-Entity'}, {'decreases': 'O'}, {'the': 'O'}, {'incidence': 'O'}, {'of': 'O'}, {'FS': 'O'}, {'value': 'O'}, {'‚Äö√¢‚Ä¢1': 'O'}, {'compared': 'O'}, {'to': 'O'}, {'pSS.Turkey.Turkey.Turkey.10.4103/IJPM.IJPM_416_17.': 'O'}]"
"Primary outcome measures included ocular dryness, oral dryness, tear production, and salivary function.","[{'Primary': 'O'}, {'outcome': 'O'}, {'measures': 'O'}, {'included': 'O'}, {'ocular': 'B-Entity'}, {'dryness,': 'I-Entity'}, {'oral': 'B-Entity'}, {'dryness,': 'I-Entity'}, {'tear': 'O'}, {'production,': 'O'}, {'and': 'O'}, {'salivary': 'O'}, {'function.': 'O'}]"
"In some cases, the level of ocular discomfort was so severe it prevented sleep, which in turn impacted on general fatigue levels.","[{'In': 'O'}, {'some': 'O'}, {'cases,': 'O'}, {'the': 'O'}, {'level': 'O'}, {'of': 'O'}, {'ocular': 'B-Entity'}, {'discomfort': 'I-Entity'}, {'was': 'O'}, {'so': 'O'}, {'severe': 'O'}, {'it': 'O'}, {'prevented': 'O'}, {'sleep,': 'O'}, {'which': 'O'}, {'in': 'O'}, {'turn': 'O'}, {'impacted': 'O'}, {'on': 'O'}, {'general': 'O'}, {'fatigue': 'I-Entity'}, {'levels.': 'O'}]"
"We evaluated the Schirmer test value, tear breakup time (tBUT), and fluorescein and Rose Bengal (RB) staining scores at baseline, 3 months, 6 months, 1 year, and >1 year after treatment.","[{'We': 'O'}, {'evaluated': 'O'}, {'the': 'O'}, {'Schirmer': 'O'}, {'test': 'O'}, {'value,': 'O'}, {'tear': 'O'}, {'breakup': 'O'}, {'time': 'O'}, {'(tBUT),': 'O'}, {'and': 'O'}, {'fluorescein': 'I-Entity'}, {'and': 'O'}, {'Rose': 'I-Entity'}, {'Bengal': 'I-Entity'}, {'(RB)': 'O'}, {'staining': 'O'}, {'scores': 'O'}, {'at': 'O'}, {'baseline,': 'O'}, {'3': 'O'}, {'months,': 'O'}, {'6': 'O'}, {'months,': 'O'}, {'1': 'O'}, {'year,': 'O'}, {'and': 'O'}, {'>1': 'O'}, {'year': 'O'}, {'after': 'O'}, {'treatment.': 'O'}]"
