sentances,predictions
To systematically review and assess the efficacy and safety of hydroxychloroquine (HCQ) for treating primary Sjogren's syndrome (pSS).,"[{'To': 'O'}, {'systematically': 'O'}, {'review': 'O'}, {'and': 'O'}, {'assess': 'O'}, {'the': 'O'}, {'efficacy': 'O'}, {'and': 'O'}, {'safety': 'O'}, {'of': 'O'}, {'hydroxychloroquine': 'I-Entity'}, {'(HCQ)': 'O'}, {'for': 'O'}, {'treating': 'O'}, {'primary': 'B-Entity'}, {""Sjogren's"": 'I-Entity'}, {'syndrome': 'I-Entity'}, {'(pSS).': 'O'}]"
BACKGROUND AND Migraine and systemic autoimmune diseases are 2-3-fold more common in women and various studies have reported an association between the two pathologies.,"[{'BACKGROUND': 'O'}, {'AND': 'O'}, {'Migraine': 'I-Entity'}, {'and': 'O'}, {'systemic': 'B-Entity'}, {'autoimmune': 'I-Entity'}, {'diseases': 'I-Entity'}, {'are': 'O'}, {'2-3-fold': 'O'}, {'more': 'O'}, {'common': 'O'}, {'in': 'O'}, {'women': 'O'}, {'and': 'O'}, {'various': 'O'}, {'studies': 'O'}, {'have': 'O'}, {'reported': 'O'}, {'an': 'O'}, {'association': 'O'}, {'between': 'O'}, {'the': 'O'}, {'two': 'O'}, {'pathologies.': 'O'}]"
"FM seems to contribute to constitutional symptoms more in SLE than in pSS, suggesting a different underlying cause of fatigue and widespread pain in these two different connective tissue diseases.Rome, Italy.","[{'FM': 'I-Entity'}, {'seems': 'O'}, {'to': 'O'}, {'contribute': 'O'}, {'to': 'O'}, {'constitutional': 'O'}, {'symptoms': 'O'}, {'more': 'O'}, {'in': 'O'}, {'SLE': 'I-Entity'}, {'than': 'O'}, {'in': 'O'}, {'pSS,': 'O'}, {'suggesting': 'O'}, {'a': 'O'}, {'different': 'O'}, {'underlying': 'O'}, {'cause': 'O'}, {'of': 'O'}, {'fatigue': 'I-Entity'}, {'and': 'O'}, {'widespread': 'O'}, {'pain': 'I-Entity'}, {'in': 'O'}, {'these': 'O'}, {'two': 'O'}, {'different': 'O'}, {'connective': 'B-Entity'}, {'tissue': 'I-Entity'}, {'diseases.Rome,': 'I-Entity'}, {'Italy.': 'O'}]"
"In this case, daily use of hydroxypropyl cellulose ophthalmic inserts effectively treated autoimmune dry eye, providing symptomatic relief, and resulted in improved objective measures of disease severity across several decades.","[{'In': 'O'}, {'this': 'O'}, {'case,': 'O'}, {'daily': 'O'}, {'use': 'O'}, {'of': 'O'}, {'hydroxypropyl': 'B-Entity'}, {'cellulose': 'I-Entity'}, {'ophthalmic': 'O'}, {'inserts': 'O'}, {'effectively': 'O'}, {'treated': 'O'}, {'autoimmune': 'B-Entity'}, {'dry': 'I-Entity'}, {'eye,': 'I-Entity'}, {'providing': 'O'}, {'symptomatic': 'O'}, {'relief,': 'O'}, {'and': 'O'}, {'resulted': 'O'}, {'in': 'O'}, {'improved': 'O'}, {'objective': 'O'}, {'measures': 'O'}, {'of': 'O'}, {'disease': 'O'}, {'severity': 'O'}, {'across': 'O'}, {'several': 'O'}, {'decades.': 'O'}]"
"The Short Form Health Survey (SF-36), Functional Assessment of Chronic Illness Therapy (FACIT) fatigue scale and Hospital Anxiety and Depression Scale (HADS) were also administered.","[{'The': 'O'}, {'Short': 'O'}, {'Form': 'O'}, {'Health': 'O'}, {'Survey': 'O'}, {'(SF-36),': 'O'}, {'Functional': 'O'}, {'Assessment': 'O'}, {'of': 'O'}, {'Chronic': 'B-Entity'}, {'Illness': 'I-Entity'}, {'Therapy': 'O'}, {'(FACIT)': 'O'}, {'fatigue': 'I-Entity'}, {'scale': 'O'}, {'and': 'O'}, {'Hospital': 'O'}, {'Anxiety': 'O'}, {'and': 'O'}, {'Depression': 'O'}, {'Scale': 'O'}, {'(HADS)': 'O'}, {'were': 'O'}, {'also': 'O'}, {'administered.': 'O'}]"
(99m)Tc-ECD brain SPECT abnormalities were significantly more common in patients with pSS (10/10) than controls (2/10; p<0.05).,"[{'(99m)Tc-ECD': 'O'}, {'brain': 'O'}, {'SPECT': 'O'}, {'abnormalities': 'I-Entity'}, {'were': 'O'}, {'significantly': 'O'}, {'more': 'O'}, {'common': 'O'}, {'in': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'pSS': 'I-Entity'}, {'(10/10)': 'O'}, {'than': 'O'}, {'controls': 'O'}, {'(2/10;': 'O'}, {'p<0.05).': 'O'}]"
zengxfpumc@163.com.Sep 14.immunoassay for diagnosing inflammation related to dry eye.,"[{'zengxfpumc@163.com.Sep': 'O'}, {'14.immunoassay': 'O'}, {'for': 'O'}, {'diagnosing': 'O'}, {'inflammation': 'I-Entity'}, {'related': 'O'}, {'to': 'O'}, {'dry': 'B-Entity'}, {'eye.': 'I-Entity'}]"
"Extraglandular manifestations may also be prevalent in patients with pSS, including cutaneous, musculoskeletal, pulmonary, renal, hematological and neurological involvement.","[{'Extraglandular': 'O'}, {'manifestations': 'O'}, {'may': 'O'}, {'also': 'O'}, {'be': 'O'}, {'prevalent': 'O'}, {'in': 'O'}, {'patients': 'O'}, {'with': 'O'}, {'pSS,': 'I-Entity'}, {'including': 'O'}, {'cutaneous,': 'B-Entity'}, {'musculoskeletal,': 'I-Entity'}, {'pulmonary,': 'I-Entity'}, {'renal,': 'I-Entity'}, {'hematological': 'I-Entity'}, {'and': 'I-Entity'}, {'neurological': 'I-Entity'}, {'involvement.': 'O'}]"
"Aggressive surveillance of thyroid and pulmonary functions should therefore be performed in these patients.General Hospital, National Defense Medical Center, Taipei, Taiwan, Republic of China (C-TC, Y-CT, C-WY, H-HL, P-JC, T-YH, Y-LS, W-KC, T-YH); and Division of Gastroenterology, Department of Internal Medicine, Taipei Medical University Hospital, Taipei, Taiwan, Republic of China (H-CC).clonotypes.","[{'Aggressive': 'O'}, {'surveillance': 'O'}, {'of': 'O'}, {'thyroid': 'O'}, {'and': 'O'}, {'pulmonary': 'O'}, {'functions': 'O'}, {'should': 'O'}, {'therefore': 'O'}, {'be': 'O'}, {'performed': 'O'}, {'in': 'O'}, {'these': 'O'}, {'patients.General': 'O'}, {'Hospital,': 'O'}, {'National': 'O'}, {'Defense': 'O'}, {'Medical': 'O'}, {'Center,': 'O'}, {'Taipei,': 'O'}, {'Taiwan,': 'O'}, {'Republic': 'O'}, {'of': 'O'}, {'China': 'O'}, {'(C-TC,': 'O'}, {'Y-CT,': 'O'}, {'C-WY,': 'O'}, {'H-HL,': 'O'}, {'P-JC,': 'O'}, {'T-YH,': 'O'}]"
"The patients were interviewed regarding the 5 major KCS symptoms, foreign body sensation, dry eye sensation, photophobia, ocular pain, and blurred vision, with each graded from none (0) to very severe (4).","[{'The': 'O'}, {'patients': 'O'}, {'were': 'O'}, {'interviewed': 'O'}, {'regarding': 'O'}, {'the': 'O'}, {'5': 'O'}, {'major': 'O'}, {'KCS': 'I-Entity'}, {'symptoms,': 'O'}, {'foreign': 'B-Entity'}, {'body': 'I-Entity'}, {'sensation,': 'I-Entity'}, {'dry': 'B-Entity'}, {'eye': 'I-Entity'}, {'sensation,': 'I-Entity'}, {'photophobia,': 'I-Entity'}, {'ocular': 'B-Entity'}, {'pain,': 'I-Entity'}, {'and': 'O'}, {'blurred': 'B-Entity'}, {'vision,': 'I-Entity'}, {'with': 'O'}, {'each': 'O'}, {'graded': 'O'}, {'from': 'O'}, {'none': 'O'}, {'(0)': 'O'}, {'to': 'O'}, {'very': 'O'}, {'severe': 'O'}, {'(4).': 'O'}]"
The aim of this study was to evaluate a new algorithm considering anti-DFS70 antibodies for routine ANA testing.,"[{'The': 'O'}, {'aim': 'O'}, {'of': 'O'}, {'this': 'O'}, {'study': 'O'}, {'was': 'O'}, {'to': 'O'}, {'evaluate': 'O'}, {'a': 'O'}, {'new': 'O'}, {'algorithm': 'O'}, {'considering': 'O'}, {'anti-DFS70': 'O'}, {'antibodies': 'O'}, {'for': 'O'}, {'routine': 'O'}, {'ANA': 'O'}, {'testing.': 'O'}]"
